,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
50,1800000.0,85750,-110.84556,32.327714,1.32,20206.0,2002,4,7.0,6800.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Wood, Other",142.0
57,1750000.0,85718,-110.877379,32.331167,1.31,10956.02,1994,4,6.0,4907.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",258.0
64,1775000.0,85658,-111.095814,32.471097,0.46,14748.57,2008,5,6.0,5349.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone, Wood",550.0
65,1600000.0,85750,-110.864694,32.331871,1.04,14202.0,1994,5,8.0,6677.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0.0,"Carpet, Concrete, Natural Stone, Wood",220.0
68,1750000.0,85718,-110.922363,32.312618,1.22,10780.0,2004,5,5.0,5338.0,4.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,Natural Stone,159.0
70,1800000.0,85718,-110.908631,32.299399,1.42,4127.07,2018,5,6.0,5634.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite",3.0,"Carpet, Natural Stone",193.0
75,1795000.0,85718,-110.913897,32.33625,0.86,12529.0,2005,5,5.0,6299.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",50.0
77,1751330.0,85718,-110.943375,32.348627,1.16,21083.04,2009,5,6.0,7756.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",169.0
82,1750000.0,85718,-110.875675,32.335414,3.81,15484.0,1982,4,6.0,6354.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Water Purifier, Countertops: granite, Microwave: Wolf, Oven: Wolf",4.0,"Carpet, Natural Stone",0.0
84,1825000.0,85718,-110.919685,32.342472,1.02,18578.95,1995,5,7.0,7451.0,3.0,"Desk, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Countertops: Granite, Oven: Double",4.0,"Ceramic Tile, Natural Stone, Wood, Other: Marble, Granite",323.0
